d_median,d_lo,d_hi,n,density,density_lo,density_hi,density_blo,density_bhi,lacunarity_mean,lacunarity_mean_lo,lacunarity_mean_hi,lacunarity_mean_blo,lacunarity_mean_bhi,lacunarity_slope,lacunarity_slope_lo,lacunarity_slope_hi,lacunarity_slope_blo,lacunarity_slope_bhi,r_crit,r_crit_lo,r_crit_hi,r_crit_blo,r_crit_bhi,mfa_alpha_width,mfa_alpha_width_lo,mfa_alpha_width_hi,mfa_alpha_width_blo,mfa_alpha_width_bhi,W_trans,W_trans_lo,W_trans_hi,W_trans_blo,W_trans_bhi,gamma,gamma_lo,gamma_hi,gamma_blo,gamma_bhi,Delta_D,Delta_D_lo,Delta_D_hi,Delta_D_blo,Delta_D_bhi,S_alpha,S_alpha_lo,S_alpha_hi,S_alpha_blo,S_alpha_bhi
0.004292375,0.003735,0.00493575,800,6.6385058739579605,6.549118482851111,6.709529754927689,6.541118631022028,6.734131868942566,6.039632230962855,5.8867378394635725,6.169635750923978,5.921482268297138,6.1961648940189615,6.0359857213031844,5.943949967006544,6.13110343598714,5.928135248539267,6.1447349232620265,5.6893496174589835,5.518620153278802,5.8742844709327375,5.543412011303824,5.8732476265740825,6.07290358686619,5.99294922986066,6.1656113268491906,5.982735880100616,6.148728525632129,6.177811503397745,6.072669408560778,6.273372955939159,6.041098540152282,6.270335377082336,6.234953514479827,6.149213641365838,6.3257474560529765,6.173486921583059,6.310430646751724,6.2479280258495695,6.172942547945404,6.356598134192367,6.170763780485534,6.326049839407334,5.6991622811932485,5.556953712994862,5.813041207470894,5.5607100842003945,5.817626188257212
0.004666875,0.00409725,0.00533275,800,6.566455873911933,6.485028559363208,6.642881952108912,6.478167761019918,6.6629429270119225,6.120314419610687,6.026937199644657,6.204186189612267,5.9740183483254565,6.2011575908996805,6.029309224986813,5.928909811125469,6.115351920698793,5.905688765174495,6.1403945719305595,5.701180705843784,5.549533642176096,5.872710075405966,5.522463816682774,5.927872668240686,6.061862277754971,5.9745656475287605,6.139774989396213,5.961137175400646,6.172562263424691,6.2016352103201084,6.081352110853352,6.2677220729290095,6.110612558406164,6.289666696484128,6.201481081602961,6.120640101530523,6.275848891048943,6.107061925930581,6.275628504529717,6.276864348453762,6.1831947406326915,6.385899972083784,6.189492113065301,6.36526212811885,5.696716538013806,5.599795104662701,5.814844226570531,5.50954907871553,5.821182078263085
0.005081625,0.00444,0.00570325,800,6.6570277818105446,6.572080861503625,6.739450387020914,6.519192073313307,6.758083189923621,6.091626754791627,5.973690687841344,6.197906968409316,5.9626082681165595,6.203299791691936,5.992468660213362,5.891634171234762,6.094927498135294,5.892288321234374,6.10398285304364,5.707915298203833,5.55107212452434,5.885427122479483,5.5074086883607345,5.906779873089779,6.1192267313816675,6.046188068820438,6.184940558240061,6.005157583240244,6.207342144182953,6.193524066146504,6.111639350264045,6.312040089877568,6.0910851846873655,6.287553252784805,6.181983221446935,6.113615052342273,6.276749908452185,6.075308103441583,6.291445067177891,6.294630916933917,6.1915739707828905,6.3887805752861615,6.201036489951072,6.388556927508552,5.71725385073425,5.616441322442155,5.838729799577284,5.568234160121968,5.826103102576895
0.0054765000000000005,0.00485125,0.00615,800,6.616244770553246,6.546603548387953,6.690694067325691,6.534034253457775,6.719567094966939,6.040419763721137,5.869230081794663,6.143144549691772,5.893288848067702,6.143113541080704,5.930168188837072,5.84319873344796,6.022893429427013,5.820592450453688,6.067717733426691,5.7096858383666484,5.607994899680163,5.818816935175784,5.5706695277436005,5.8179955887655295,6.101521926830466,6.02675670787196,6.176930750160011,6.011903467200479,6.1711276388093514,6.248821494032223,6.141965714993499,6.352644765630958,6.105999382332826,6.331349400800366,6.187964685654465,6.088321892876206,6.283956776210197,6.0912761461810145,6.316048407980198,6.258428114401426,6.183062549913608,6.365277719258913,6.174033567853453,6.345106182776568,5.790442143689582,5.673270146051849,5.885674210031203,5.639721024175044,5.911950048631587
0.0058702500000000005,0.0052445,0.00658075,800,6.602551888507842,6.523963203075565,6.685495926894349,6.506771338309965,6.6654390760239,6.0497048374559395,5.902528398269518,6.161821977155036,5.91907757224755,6.18839748055184,5.850239325802927,5.74193453660615,5.941773086479775,5.709900873581211,5.988185003549891,5.823780321210156,5.701891559582968,5.916185140892313,5.695521073256042,5.979519947926894,6.049843825917814,5.965829680105872,6.1206943110499425,5.950532230041196,6.1363475838300285,6.236191287759741,6.128257108925261,6.316656085621411,6.130999247891392,6.350653374967882,6.2015035589287315,6.122598432166614,6.274185713033427,6.111008028498295,6.334285823200065,6.116499469333084,6.0365221420266435,6.209981162772106,5.983611651835997,6.2157456506511055,5.803724011149192,5.660029097144732,5.90157223463079,5.6676359637174425,5.9407346592191255
0.006318125,0.005629,0.00710525,800,6.626356818373062,6.532993318035881,6.711138467526884,6.4944907493189765,6.731039431894237,6.035018786036413,5.915295474812051,6.19313427340318,5.915396123524471,6.1787824651911905,5.77878892676789,5.6589037611627715,5.919714763735986,5.635468850049217,5.950461146171869,5.780110399742462,5.613384683518625,5.933939252244915,5.635955049868868,5.942967064275779,6.071640416416063,6.00232194903534,6.148559997737368,5.951107930035717,6.181971230443522,6.292820947981598,6.172247762150722,6.4163334161907155,6.149379939231424,6.404767843322027,6.213766062655542,6.109333738602205,6.296037372786618,6.150127318351637,6.296234319553141,6.067584982775039,5.969171985503725,6.1657722647348185,5.990604277196676,6.157915767883637,5.902857973293852,5.786803059398883,6.01452198438087,5.76653856850417,6.022613635787561
0.0068035,0.0060535,0.007612,800,6.701359958542848,6.585283546403363,6.780045485313854,6.549754847087283,6.843187178968097,6.095196169561557,5.946654902477795,6.240720574604782,5.904375424622214,6.226330666925839,5.703218994571148,5.579202926432855,5.833505034327292,5.574343382881873,5.817868954520605,5.760587557971078,5.594810402410004,5.934986279071995,5.624330572697867,5.938303341524465,6.101304420665354,6.0295391128856695,6.183127169132725,5.970804205760678,6.197850781298268,6.298309233586625,6.197321084491477,6.382165503096833,6.173849989493171,6.39269393726824,6.141539822996039,6.062412962098508,6.220281629089319,6.093899979242589,6.202881691035052,6.0517910496249625,5.9665777825913535,6.146969183413176,5.97824670687511,6.125298529297538,5.936440156479271,5.81244656698128,6.070311573310029,5.793047886332841,6.056818992941117
0.0072965,0.0065055,0.0081815,800,6.728408608766144,6.622317228858407,6.82115170605418,6.645219490240467,6.78891196274761,6.08197030170914,5.944027004463153,6.189585017142725,5.914666265941244,6.188793023888848,5.724864830088825,5.625612196648334,5.852078424962531,5.628525655091657,5.804151142815879,5.726249033847963,5.56156026857086,5.90678309562212,5.571003560818008,5.898738526090209,6.100657795575639,6.028019462083026,6.174234274606934,6.021501719045306,6.173292971593429,6.327707771425752,6.228554779536801,6.415373132869851,6.21656337129536,6.437196992332963,6.1126046839644985,6.0172287785486605,6.192030543611257,6.007130435232422,6.195352487245433,6.172557845580972,6.070861421611561,6.245715575105981,6.073141104303948,6.253574561263218,5.869521591093942,5.7525723970144655,5.971100022502546,5.702587472700998,6.0059861805881205
0.0078325,0.00701675,0.00889375,800,6.700885906362856,6.604105016602561,6.7697078944121385,6.600805703878296,6.802139346303511,6.0806851024838915,5.950511970232716,6.21860044492261,5.955146150825858,6.198156968385589,5.812804579226986,5.680831912750333,5.916748847201352,5.672532211932458,5.963608144735881,5.6604126917793876,5.548264357936778,5.865768804844745,5.511945203919072,5.858584358818742,6.078226764140643,5.998984739269344,6.136076164170348,5.99909732719859,6.141325825693131,6.310246716809156,6.206716861319246,6.408476865354831,6.212299752270487,6.429341488071811,6.109019400030243,6.015929867547212,6.197078148499891,6.008585557365652,6.202563874701029,6.219207025678784,6.109061301431739,6.296026866230356,6.1025921206705425,6.306072517796346,5.845160210527587,5.759294534972785,5.962236570390388,5.704109687109596,6.003412015318216
0.008473624999999999,0.0075075,0.00954725,800,6.590134189558691,6.510714313932009,6.671395168796199,6.511781308242815,6.664917600796093,6.031752427328807,5.901309482271591,6.147572993597682,5.908334458847184,6.139274730806031,5.858965149877355,5.7473908536721625,5.929080184440517,5.74598227956026,5.959068262279966,5.7092423888390735,5.545919622414886,5.9012130856766065,5.62699307414213,5.903526688096897,6.055856637703213,5.978837960466059,6.122620705441452,5.957297922744931,6.1420595444698565,6.321501539418506,6.198696965162162,6.401821840128602,6.201588250277284,6.426938308056221,6.124429274724837,6.019138179373764,6.2189178101813845,6.0550358050066135,6.220863761743212,6.280021851696821,6.208225134465827,6.3670893702976095,6.177966742957108,6.3576695695185395,5.792057834060481,5.6997358736681605,5.903932145336655,5.679253859518086,5.9148060814690115
