name,lat,lon,quintile,subregion,country_iso,density_wsf,density,lacunarity_mean,lacunarity_slope,r_crit,mfa_alpha_width,W_trans,gamma,Delta_D,S_alpha
locv2_7169021,-20.7417,-44.0583,Q4,South America,BRA,0.045843,0.0205745,12.713503999699316,0.6264199948286321,112.05555555555554,1.7951961994989938,241.45237295348156,0.006141070535267634,-0.08181419640280052,0.6029811365508518
locv2_355762,-51.7417,-72.5083,Q4,South America,CHL,0.059342,0.02959725,11.475343642769635,0.4017869808972502,132.24747474747474,2.4575991305514067,131.08915911428664,0.010301150575287646,0.08582312292367744,0.2645546383515312
locv2_20816889,8.1583,-77.0583,Q4,South America,COL,0.025639,0.00940725,28.350548029235437,0.6357458051994594,91.86363636363636,2.1796131814924258,39.611469890158446,0.021071094553487924,-0.18055688449722007,0.26168741657993216
locv2_6451479,-22.2917,-57.9583,Q4,South America,PRY,0.032114,0.00967125,26.44726649797999,0.6219372225316008,112.05555555555554,2.0434182792768674,244.161811398175,0.010918433900494552,-0.06017132452466467,0.3477721135456826
locv2_14762697,-4.575,-81.1917,Q4,South America,PER,0.046161,0.0299855,12.20163659640473,0.4591638216576352,172.6313131313131,2.215519879865247,104.94832311351956,0.01277738869434717,-0.09647231333579298,0.3946301977907045
locv2_1600226,-38.7417,-66.4417,Q4,South America,ARG,0.030206,0.00695825,35.798149763384835,0.7488511042032507,91.86363636363636,1.930703560579114,218.30829966329975,0.01077275798019856,-0.18255645363009898,0.4829781067103255
locv2_16357927,-1.5083,-44.7583,Q4,South America,BRA,0.029801,0.00529875,43.001408265893,0.7818794929391535,71.67171717171716,2.128472088936433,285.73194037145663,0.0122577900245804,-0.2830367472972235,0.24629437576764723
locv2_1830668,-37.225,-73.4417,Q4,South America,CHL,0.058995,0.0154825,18.235968838712544,0.6134919788269632,112.05555555555554,2.3510909494066876,129.92861471744317,0.010944972486243121,-0.22898317307723115,0.2914094557558519
locv2_10256614,-13.925,-74.3417,Q4,South America,PER,0.05703,0.033321,10.038458506751589,0.4337404002003659,71.67171717171716,1.996967572025825,103.69908441136509,0.010202101050525263,-0.046323870298841996,0.5374388950855098
locv2_1673967,-38.2083,-57.6917,Q4,South America,ARG,0.035582,0.02238725,11.927651198165,0.5824161568186608,132.24747474747474,2.318831676856964,57.70043372722847,0.01416408204102051,0.008747022634887358,0.31560626370407285
