subset,weighted,d_median,n,density,density_lo,density_hi,lacunarity_mean,lacunarity_mean_lo,lacunarity_mean_hi,lacunarity_slope,lacunarity_slope_lo,lacunarity_slope_hi,r_crit,r_crit_lo,r_crit_hi,mfa_alpha_width,mfa_alpha_width_lo,mfa_alpha_width_hi,W_trans,W_trans_lo,W_trans_hi,gamma,gamma_lo,gamma_hi,Delta_D,Delta_D_lo,Delta_D_hi,S_alpha,S_alpha_lo,S_alpha_hi
all,True,0.007565375,800,10.18709246332459,9.811885363188333,10.46469009929841,9.302813601482267,9.048311075456123,9.679007812257646,8.196341683293038,7.9395216173733925,8.368225222978877,0.8534479948133002,0.6100677846582385,1.1481488326480365,9.118709696026306,8.843027501317847,9.352776272149667,0.6970164641232796,0.42233544162255787,0.9178495803213628,7.012360116075373,6.325879106693032,7.615251408356179,9.985491244973632,9.583845441837992,10.222776694613085,1.206621343015461,0.9658025265133621,1.4476274637562325
all,True,0.00792975,800,9.84531555621071,9.278686027000441,10.114000375569763,9.065769685154384,8.476696329159813,9.64906168065253,8.602170705294796,8.121837214951544,8.718667330083013,1.580607565058597,0.7113846391007976,2.5112598558758052,8.914534932926685,8.150201464336206,9.519893352815773,2.342231763494231,0.6205894002023676,3.1160405991199114,4.547627204900606,3.9173388312732116,7.308513141873836,9.815321638384479,9.154727850791348,10.374653152098462,1.9914715105826244,1.0788863449805568,2.932695911776336
all,True,0.0083155,800,10.217945903689793,9.489968637932687,10.706700584616685,9.703950812192115,9.03487264953917,10.254680298445654,7.780642077209357,7.233148019928672,8.413742353290731,1.479106750948203,0.46856125167629203,2.466014765889505,9.01274705216414,8.13499161695072,9.52723743705827,2.119226230687802,0.31029905006453656,3.064609017935933,4.503115815338669,3.575260976174735,7.434162935822309,10.010568037496443,9.212996087313481,10.605138237355845,1.871184354111868,0.9655946936742427,2.8488151655726064
all,True,0.00874925,800,9.792163232983011,8.953181157838197,10.343740545872695,9.604037486291556,8.62404517544627,10.138141872576725,7.7579660680952385,7.055142734307437,8.296948516448351,1.635389956762203,0.31735590163588284,2.7238266587593762,9.127116805047864,8.265372170078567,9.549360916361595,1.9546950194627009,0.23827525410309577,2.949113633497017,4.580425754936424,3.7147295630991772,7.462765984800526,10.052587350195859,9.25938042710012,10.371618191042465,1.9895202483738499,1.296273940197258,3.5760548993396326
all,True,0.009260500000000001,800,10.268459350709632,9.497422326717421,10.792540250275984,9.722435973318934,8.669432145298234,10.285386263129483,7.4771215844796135,7.08926674192889,8.09914667977795,0.4893870478918236,0.31459022361887445,0.7276022949859112,9.4115551901957,8.91484094228483,9.715146531883757,0.46457956566997477,0.2599087089776354,0.7256227484979,6.969120142203268,6.478651508254087,7.501806694066409,10.243594128510809,9.565620172978555,10.793917228116618,1.2488615374909857,1.0238181238857766,2.7655798345972222
all,True,0.0096895,800,10.199034914188324,9.552115156164488,10.68825350578839,9.374109968127271,8.790017850526285,9.901906019416067,7.72422839775502,7.483366733840185,8.269403719861753,0.4901079087335373,0.25450543269846215,0.718063199478204,9.200730648086623,8.806784983283961,9.55801533532297,0.4873567638123822,0.22396107131753487,0.7098961643133941,7.324707556608431,7.003267309020318,7.866150222754497,10.400186651953362,9.84490351268452,10.929585206944905,0.9532178254083753,0.7557872351617051,1.7053359763191487
all,True,0.010211250000000002,800,10.406280947948874,10.079538547438633,10.750536748372818,9.06250383392386,8.70997089732239,9.510959766150918,8.3289172030866,8.117676892001091,8.52060575985038,0.5943579524435519,0.35854242203733633,0.8330768859798563,9.062986496668342,8.780022531097966,9.428182828679908,0.6170750925284948,0.3478761709989091,0.8543055637061254,7.360353960210336,6.69717990363731,7.834992749255246,10.01565235202193,9.611235438997184,10.336852472618416,0.9010501997159334,0.7860162634670602,1.270950053075079
all,True,0.010801375,800,9.916313026575544,9.50466527561201,10.269716686182809,9.002177920996829,8.669661146522014,9.400113845245569,8.386380670583842,8.144599260145338,8.629271368075344,0.7522635065909133,0.4888780338325922,1.0268556065983652,9.152651416682884,8.834872944160967,9.47832089762587,0.7351940175422896,0.4805853411348416,1.0170835543977343,7.203137309895193,6.360565095969764,7.735841747495797,10.026284054468073,9.730318713801944,10.411905803489846,1.011541176691629,0.806678017885969,1.2307010800699312
all,True,0.011400375,800,9.851951864693257,9.480977364149053,10.23054668906422,9.427095438651472,8.806013302186756,9.81527772288111,8.37638396762417,8.174429004037547,8.650096658613483,0.8606400002699074,0.6092962282824549,1.1737618367840228,9.086480333611545,8.796093010050297,9.432904095687062,0.8204631061499136,0.5070021243105276,1.1475046156637694,6.813988560637546,6.087835878360601,7.513249157872967,9.970445714467532,9.685977961960667,10.209029027495104,1.1960783172499678,0.982731147920359,1.436303671701168
all,True,0.01198275,800,10.18135232563132,9.858678901736665,10.464697334668365,9.351375551805182,8.711989287217886,9.706292708378802,8.353417944959347,8.165234899115395,8.606303498053462,0.8116234954657889,0.5903279904487769,1.1075964248788868,9.085815582910135,8.881502442300713,9.37731649627441,0.786039889396585,0.5260745527213408,1.1129442746763922,6.764698289024397,6.002311004217395,7.424685672028196,10.00322593382615,9.685749720168022,10.331032438328899,1.1697757344713096,0.9552338359125871,1.4082638760817119
